Model,Accuracy,Precision,Recall,F1-Score,Train Time (s),Pred Time (s)
SVM (LinearSVC),0.8810854953200578,0.8810266179105115,0.8810854953200578,0.8808358750192146,10.88414216041565,0.008654356002807617
Logistic Regression,0.865820717381745,0.8658772443992045,0.865820717381745,0.8656171531234016,18.46437978744507,0.013803720474243164
Naive Bayes,0.838243608266851,0.838504409168746,0.838243608266851,0.8381230492561413,0.2965061664581299,0.008433103561401367
